timestamp_unix,mode,tag,model,threads,p,n,repeat,tier_mbps,tier_lat_ms,tier_chunk_mb,stage_seconds,stage_effective_mbps,pp_tps,tg_tps,json_path
1772130055,hbf-emu,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,256,256,1,250.0,0.0,4.0,9.542,220.59,19.60 ± 7.70,6.38 ± 3.99,results/hbf_weight_tier_v2/weight_tier_mbps250_lat0_p256_n256_r1.json
1772130274,hbf-emu,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,256,256,2,250.0,0.0,4.0,9.542,220.59,34.02 ± 4.57,8.45 ± 1.90,results/hbf_weight_tier_v2/weight_tier_mbps250_lat0_p256_n256_r2.json
1772130491,hbf-emu,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,256,256,3,250.0,0.0,4.0,9.542,220.59,38.81 ± 8.37,7.73 ± 1.37,results/hbf_weight_tier_v2/weight_tier_mbps250_lat0_p256_n256_r3.json
1772130710,hbf-emu,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,256,256,1,250.0,1.0,4.0,24.861,84.67,39.97 ± 7.25,9.65 ± 2.31,results/hbf_weight_tier_v2/weight_tier_mbps250_lat1_p256_n256_r1.json
1772130930,hbf-emu,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,256,256,2,250.0,1.0,4.0,24.861,84.67,36.35 ± 4.82,8.04 ± 0.82,results/hbf_weight_tier_v2/weight_tier_mbps250_lat1_p256_n256_r2.json
1772131159,hbf-emu,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,256,256,3,250.0,1.0,4.0,24.861,84.67,37.32 ± 6.23,7.85 ± 2.42,results/hbf_weight_tier_v2/weight_tier_mbps250_lat1_p256_n256_r3.json
1772131394,hbf-emu,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,256,256,1,250.0,5.0,4.0,31.363,67.12,34.30 ± 3.95,9.41 ± 1.81,results/hbf_weight_tier_v2/weight_tier_mbps250_lat5_p256_n256_r1.json
1772131608,hbf-emu,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,256,256,2,250.0,5.0,4.0,31.363,67.12,38.82 ± 7.37,8.06 ± 1.10,results/hbf_weight_tier_v2/weight_tier_mbps250_lat5_p256_n256_r2.json
1772131840,hbf-emu,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,256,256,3,250.0,5.0,4.0,31.363,67.12,37.04 ± 10.24,7.53 ± 2.33,results/hbf_weight_tier_v2/weight_tier_mbps250_lat5_p256_n256_r3.json
1772132088,hbf-emu,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,256,256,1,500.0,0.0,4.0,32.389,64.99,36.09 ± 5.62,8.44 ± 1.36,results/hbf_weight_tier_v2/weight_tier_mbps500_lat0_p256_n256_r1.json
1772132261,hbf-emu,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,256,256,2,500.0,0.0,4.0,32.389,64.99,34.77 ± 2.57,11.11 ± 0.68,results/hbf_weight_tier_v2/weight_tier_mbps500_lat0_p256_n256_r2.json
1772132422,hbf-emu,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,256,256,3,500.0,0.0,4.0,32.389,64.99,40.68 ± 5.76,11.07 ± 0.79,results/hbf_weight_tier_v2/weight_tier_mbps500_lat0_p256_n256_r3.json
